"FIPS","State","County","Deaths","Years_of_Potential_Life_Lost_Rate","Average_Number_of_Mentally_Unhealthy_Days","Primary_Care_Physicians_Rate","Mental_Health_Provider_Rate","Dentist_Rate","Preventable_Hospitalization_Rate","Pct_with_Annual_Mammogram","Pct_Uninsured","Pct_Households_with_Broadband_Access","Num_Completed_High_School"
"51045","Virginia","Craig",108,12978.106105,6.1167990554,41.10997,NA,61.89396,3051,42,7.7281446972,87.842465753,2973
"51047","Virginia","Culpeper",745,8349.2236914,5.8532636551,33.5846,214.65083,36.77755,2681,46,8.889444495,90.631726216,31688
"51049","Virginia","Cumberland",187,9215.3761116,5.7300929988,30.98853,70.86455,10.26062,2049,41,7.6327583865,78.874251497,6456
"51051","Virginia","Dickenson",399,13594.869664,6.8955835593,21.75963,87.97654,7.28597,4016,36,8.4725417625,77.068392514,8442
"51053","Virginia","Dinwiddie",561,10647.269303,5.7608882334,14.33075,24.69746,7.10202,3616,49,7.1463952808,84.73194591,18540
"51057","Virginia","Essex",229,12685.258772,6.2312717827,37.83221,66.0502,56.44403,2717,48,9.8618090452,78.161965423,6627
"51059","Virginia","Fairfax",7060,3771.4595479,4.7318759842,111.34314,274.46014,116.22279,1645,38,7.6092056637,96.25481325,732044
"51061","Virginia","Fauquier",865,6682.5290614,5.495039855,44.70636,134.37105,52.23401,2548,36,7.0398629207,91.117794868,46686
"51063","Virginia","Floyd",292,8542.3032392,5.8559167563,32.12129,114.80324,19.20738,2374,40,7.6127500848,80.64370582,10685
"51065","Virginia","Fluvanna",349,6850.4533872,5.8604950851,21.64268,112.43061,10.65379,2001,59,5.8890849268,90.917959223,19211
"51067","Virginia","Franklin",1049,10173.610147,5.9170389466,34.58444,122.41444,18.15739,2567,46,7.8564861977,80.875289094,36303
"51069","Virginia","Frederick",1218,6971.9515369,5.5327358061,44.81578,102.08971,12.6248,3628,44,8.2040549379,88.770458384,58004
"51071","Virginia","Giles",433,12049.244716,5.9990780274,48.30335,42.53509,36.46751,2623,50,7.1395021137,80.543654897,11069
"51073","Virginia","Gloucester",676,8639.405868,5.7221509523,46.07233,222.18339,35.44932,1324,54,7.9960355521,88.849182715,26245
"51075","Virginia","Goochland",334,6389.7868972,5.2591707047,70.62147,117.66004,26.81068,1721,52,3.9424047606,92.160191751,18450
"51077","Virginia","Grayson",352,9844.664735,6.4821628845,13.02168,52.33889,19.55289,2002,42,7.2120456507,78.652047727,9875
"51079","Virginia","Greene",268,6742.9091934,5.7830587212,23.84586,117.36538,14.21329,2005,54,8.7928813956,90.912537917,13075
"51081","Virginia","Greensville",250,12862.495638,5.7355159053,34.97421,89.82305,8.90789,2492,67,5.8529264632,83.538163001,6774
"51083","Virginia","Halifax",844,13970.746503,6.0350291283,38.53222,125.62814,47.55677,3700,45,8.7817530569,66.24734879,20027
"51085","Virginia","Hanover",1463,6976.1923699,5.1782768515,72.57869,227.77447,71.72077,2288,51,5.5609332755,91.183471389,73560
"51087","Virginia","Henrico",4471,7786.6712262,5.4419300412,104.93054,421.496,85.33905,2047,50,6.7824072377,91.797137147,217940
"51089","Virginia","Henry",1362,15807.413831,6.4183290147,45.77297,24.1439,70.13185,3687,49,8.4106285465,74.637857874,30819
"51091","Virginia","Highland",NA,NA,5.8551660799,134.77089,213.76657,86.91873,3405,48,8.4151472651,73.579262213,1530
"51093","Virginia","Isle of Wight",630,8260.2773865,5.4477616832,40.73527,68.77748,24.90598,2224,54,6.2142477572,84.603915467,26073
"51095","Virginia","James City",878,5815.5039949,4.6703857312,111.41434,441.59992,112.07035,2325,58,5.9642923879,94.414851201,55982
"51097","Virginia","King and Queen",157,13003.960601,5.9057484925,30.02101,NA,NA,3555,51,9.4761624485,73.560767591,4699
"51099","Virginia","King George",347,7990.8970648,5.2798244686,21.82691,73.50882,46.66858,4031,40,6.3575545925,91.1005366,16827
"51101","Virginia","King William",295,9661.5180059,5.652654697,33.01965,68.31319,32.44646,2889,50,7.0881100557,77.315530569,11924
"51103","Virginia","Lancaster",236,10856.084062,5.7361156194,36.60322,101.29846,9.30233,1831,52,10.282538212,74.030724214,7620
"51105","Virginia","Lee",625,13058.542062,6.3952073851,31.84279,160.95654,22.74588,2805,41,8.2990800548,69.452995501,13668
"51107","Virginia","Loudoun",2243,3355.3557844,4.4926401056,76.00703,213.3623,73.59663,2295,36,5.5896161852,96.653955675,262137
"51109","Virginia","Louisa",691,9533.2654623,5.8345973511,10.29654,53.61016,17.4494,2308,49,8.2322384467,82.749326146,25528
"51111","Virginia","Lunenburg",252,11615.954935,6.0626598458,16.77008,83.07028,33.24744,3349,52,10.817073171,59.991432855,7115
"51113","Virginia","Madison",208,7226.7703236,6.0282370352,7.17257,42.46886,35.71429,1479,55,9.4107712516,83.679525223,9004
"51115","Virginia","Mathews",181,10352.143338,5.5553993729,35.10414,117.45361,23.55713,1450,54,7.191481934,74.887178126,5967
