"GEOID","county","state_abbrev","pop","med_house_income","pct_white","pct_black","pct_native","pct_asian","pct_island","pct_other","pct_hisp_latino","pct_male","pct_female","pct_under_18","pct_18_64","pct_65_plus","pct_no_school","pct_mid_school","pct_high_school","pct_ged","pct_associates","pct_bachelors","pct_masters","pct_doctorate","pct_drove_alone","pct_public_transp","pct_internet_sub","pct_internet_wo_sub","pct_no_internet"
"01001","Autauga","AL",58761,68315,0.7255662769524,0.195639965283096,0.00100406732356495,0.0108235053862256,0,0.00239955072241793,0.0317217201885604,0.487789520260036,0.512210479739964,0.234271030105002,0.609570973945304,0.156157995949695,0.00617099631730865,0.00577286752264358,0.248855379715338,0.0626057529610829,0.0869662585846521,0.167363392057331,0.0998805613616005,0.0108738927042898,0.854278421072102,0.00562317339351115,0.891294602833064,0.0140756679218218,0.0946297292451139
"01003","Baldwin","AL",233420,71039,0.823241367492074,0.0827606888869848,0.00219347099648702,0.00876531573986805,9.42507068803016e-05,0.0042498500556936,0.0480250192785537,0.488719904035644,0.511280095964356,0.211618541684517,0.576321651957844,0.212059806357639,0.00752595466465496,0.00477182646597454,0.227868185029517,0.0498856438074026,0.0960711762522302,0.200416711570931,0.0902695453293578,0.0140759899893427,0.813469985358712,0.000925707268691258,0.891334992621308,0.0191625735115967,0.0895024338670954
"01005","Barbour","AL",24877,39712,0.445552116412751,0.468786429231821,0.00253245970173252,0.00506491940346505,0.00012059331913012,0.0116573541825783,0.0483177231981348,0.521485709691683,0.478514290308317,0.207058728946416,0.594927041041926,0.198014230011657,0.0162376237623762,0.0255728429985856,0.290579915134371,0.0775671852899576,0.079038189533239,0.066025459688826,0.0362093352192362,0.00594059405940594,0.820525116892459,0.00131878671622108,0.682231588287489,0.0744232475598935,0.243345164152618
"01007","Bibb","AL",22251,50669,0.742438542087996,0.206642398094468,0.000674127005527841,0.00310098422542807,0,0.000764010606264887,0.0292121702395398,0.534672598984315,0.465327401015685,0.211900588737585,0.620286728686351,0.167812682576064,0.0227943485086342,0.0224803767660911,0.330361067503925,0.0784301412872841,0.0796860282574568,0.06574568288854,0.0318367346938776,0.0047723704866562,0.87983630952381,0,0.797533259423503,0.00970066518847007,0.192766075388027
"01009","Blount","AL",59077,57440,0.856746280278281,0.012339827682516,0.00126952959696667,0.00169270612928889,0.00198046617126801,0.00147265433248134,0.0968397176566176,0.505509758450835,0.494490241549165,0.229598659376746,0.58774142221169,0.182659918411565,0.0241566014160766,0.0104858269838548,0.275571453071024,0.0775657201656173,0.110076683734718,0.0940784477056129,0.0428987921699292,0.00382193693804052,0.848946807638718,0,0.831036715065199,0.0190049015074447,0.149958383427356
"01011","Bullock","AL",10328,36136,0.205751355538342,0.689097598760651,0,0.00416343919442293,0,0,0.0878195197521301,0.536599535243997,0.463400464756003,0.21059256390395,0.623450813323005,0.165956622773044,0.0279485746226942,0.0231973169368362,0.35145332588038,0.0617663499161543,0.0315818893236445,0.0687534935718278,0.0129960871995528,0.00461151481274455,0.88611035607502,0,0.615942028985507,0.0652173913043478,0.318840579710145
"01013","Butler","AL",18981,44429,0.50866656129814,0.44581423528792,0.00363521416152995,0.0128022759601707,0,0.000421474105684632,0.0169643327538064,0.470365101944049,0.529634898055951,0.223065170433591,0.56509140719667,0.211843422369738,0.0252525252525253,0.00489974370571386,0.416176692296095,0.0635459068294889,0.074400723654455,0.0775667118950701,0.040856324438414,0.00158299412030755,0.860833107925345,0.00229916148228293,0.786145000701164,0.0461365867339784,0.167718412564858
"01015","Calhoun","AL",116162,54339,0.704628019490023,0.216972848263632,0.00149790809386891,0.00609493638194935,0.00178199411167163,0.00367590089702312,0.0407706478882939,0.483677966977153,0.516322033022847,0.211764604603915,0.609226769511544,0.179008625884541,0.0122005295764655,0.0169388453205965,0.273644068870279,0.0719489174088761,0.0810961472678669,0.11526523165803,0.052210158239475,0.0128086556612738,0.852222994805514,0.00584890997586813,0.834470722484505,0.0202492560356208,0.145280021479874
"01017","Chambers","AL",34612,48805,0.542990870218421,0.407575407373165,0.00028891713856466,0.00173350283138796,8.66751415693979e-05,0.00182017797295736,0.0326187449439501,0.476279902923841,0.523720097076159,0.207760314341847,0.594909280018491,0.197330405639663,0.0231117947057395,0.0167975390593378,0.323443697887153,0.0717234679834858,0.109163765886829,0.0920019428478912,0.0298308103294746,0.00222617987533393,0.855525238744884,0.00463847203274216,0.785513200943468,0.0221410636840904,0.192345735372442
"01019","Cherokee","AL",25069,46621,0.907455423032431,0.0398899038653317,0.00450755913678248,0.000837687981171965,0,0.000638238461845307,0.0191072639514939,0.489090111292832,0.510909888707168,0.188519685667558,0.579041844509155,0.232438469823288,0.0167359499001242,0.0318522917453976,0.290773632780867,0.0697511202289046,0.119581061383145,0.082600010797387,0.0449171300545268,0.00545268045133078,0.853755332870324,0.00714356582994345,0.781634490347104,0.0226067820346104,0.195758727618285
