"fips","year","CDCW_crude_death_rate"
1059,2009,1203
1059,2010,1261.7
1059,2011,1292.2
1059,2012,1275.1
1059,2013,1214.6
1059,2014,1243.6
1059,2015,1205.2
1059,2016,1188.8
1059,2017,1155.7
1061,2009,1271.9
1061,2010,1239.3
1061,2011,1295.7
1061,2012,1288.5
1061,2013,1294.6
1061,2014,1284.1
1061,2015,1307.1
1061,2016,1424.1
1061,2017,1377.7
1063,2009,947.5
1063,2010,995
1063,2011,1255.5
1063,2012,1352
1063,2013,1178
1063,2014,1262.7
1063,2015,1344.5
1063,2016,1234.9
1063,2017,1488.6
1065,2009,1073.3
1065,2010,1256.3
1065,2011,1284
1065,2012,1039.8
1065,2013,1174.9
1065,2014,1211.8
1065,2015,1134.9
1065,2016,1264
1065,2017,1411
1067,2009,1183.1
1067,2010,1196.4
1067,2011,1309.4
1067,2012,1394.1
1067,2013,1098.5
1067,2014,1175.1
1067,2015,1318.2
1067,2016,1252.6
1067,2017,1376.3
1069,2009,980.1
1069,2010,968
1069,2011,949.5
1069,2012,982.6
1069,2013,1073.6
1069,2014,994.3
1069,2015,1041.5
1069,2016,1068.7
1069,2017,1136.6
1071,2009,1178.4
1071,2010,1185.5
1071,2011,1291
1071,2012,1280.7
1071,2013,1274.8
1071,2014,1363.3
1071,2015,1371.6
1071,2016,1411.6
1071,2017,1375.5
1073,2009,1033.8
1073,2010,1037.7
1073,2011,1039.6
1073,2012,1038.2
1073,2013,1061.6
1073,2014,1051.8
1073,2015,1087.6
1073,2016,1082.1
1073,2017,1109.5
1075,2009,1354.8
1075,2010,1380.1
1075,2011,1243.8
1075,2012,1311.5
1075,2013,1545.4
1075,2014,1313.4
1075,2015,1454.7
1075,2016,1472.9
1075,2017,1548.8
1077,2009,1112.1
1077,2010,1167.1
1077,2011,1165.1
1077,2012,1146.5
1077,2013,1205.9
1077,2014,1168.7
1077,2015,1192.3
1077,2016,1257.6
1077,2017,1188.7
1079,2009,1116.1
1079,2010,1112.4
1079,2011,1234
1079,2012,1161.4
1079,2013,1167.1
1079,2014,1212.8
1079,2015,1268.3
1079,2016,1203.2
1079,2017,1201.2
1081,2009,596.8
1081,2010,581.1
1081,2011,578.5
1081,2012,634.3
1081,2013,738.7
1081,2014,772.1
1081,2015,647.2
1081,2016,633.4
1081,2017,687.5
1083,2009,769.7
1083,2010,786.4
1083,2011,828.2
1083,2012,839.7
1083,2013,726
1083,2014,840.4
1083,2015,846.6
1083,2016,783.8
1083,2017,898.3
1085,2009,1236.3
1085,2010,1283.3
1085,2011,1264.9
1085,2012,1160.5
1085,2013,1158.6
1085,2014,1285.4
1085,2015,1233.5
1085,2016,1428.8
