"GEOID","state","county","year","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
"01001","AL","Autauga","2022",NA,1.6733881089041,0,5712.94700379859,1.28850884385616,87.0161816630131,3.3467762178082,48365.9365116551,0,10.5337078651685,NA,0,0,0,0,3.3467762178082
"01003","AL","Baldwin","2022",5.3,1.62314606285633,0,8637.16598697425,1.69618763568487,254.833931868444,25.1587639742731,45850.2241970499,0,8.43570843570844,18.6661797228478,1.58389495608651,0.791947478043256,17.4228445169516,0.811573031428166,1.62314606285633
"01005","AL","Barbour","2022",NA,4.04759977333441,0,4691.16813729458,1.90237189346717,44.5235975066785,4.04759977333441,58593.054318789,0,13.8181818181818,NA,0,0,0,0,12.1427993200032
"01007","AL","Bibb","2022",NA,4.54442172233583,0,8884.34446716655,7.54374005907748,149.965916837082,45.4442172233583,48911.6109975006,0,9.79591836734694,NA,0,0,0,0,36.3553737786867
"01009","AL","Blount","2022",NA,1.68033337814222,0,1535.82470762199,0.420083344535556,35.2870009409867,0,22227.4499260653,0,7.54437869822485,23.5246672939911,0,0,0,0,1.68033337814222
"01011","AL","Bullock","2022",NA,9.80199960792002,0,12546.5594981376,5.29307978827681,49.0099980396001,0,27249.5589100176,0,13.2075471698113,NA,0,0,0,0,9.80199960792002
"01013","AL","Butler","2022",NA,5.36193029490617,0,5302.9490616622,3.27077747989276,107.238605898123,0,16573.726541555,0,13.0841121495327,NA,0,0,0,5.36193029490617,5.36193029490617
"01015","AL","Calhoun","2022",NA,2.59094206653539,0,11768.0588662038,3.70504715514561,179.638649946454,12.954710332677,25818.7376930252,0,9.1533180778032,19.8638891767713,1.68160492373922,0,18.4976541611314,0,2.59094206653539
"01017","AL","Chambers","2022",NA,0,0,0,0,82.1403426425722,2.93358366580615,0,0,13.1979695431472,NA,0,0,0,0,5.8671673316123
"01019","AL","Cherokee","2022",NA,3.95225673859774,0,4217.05794008379,1.77851553236898,59.2838510789661,7.90451347719548,6311.75401154059,0,6.77966101694915,NA,0,0,0,0,3.95225673859774
"01021","AL","Chilton","2022",NA,2.17940894429431,0,1490.71571789731,0.56664632551652,56.664632551652,0,40140.3539360126,0,8.51449275362319,NA,0,0,0,0,4.35881788858862
"01023","AL","Choctaw","2022",NA,8.03923144947343,0,2339.41635179677,2.00980786236836,40.1961572473671,0,16866.3075809953,0,10.2941176470588,NA,0,0,0,0,8.03923144947343
"01025","AL","Clarke","2022",NA,13.3244503664224,0,9069.50921607817,2.93137908061292,53.2978014656895,17.7659338218965,70823.8951809905,0,13.4948096885813,NA,8.47098686997035,0,0,0,13.3244503664224
"01027","AL","Clay","2022",NA,7.04324552753909,0,10684.6034652768,9.08578673052543,63.3892097478518,0,17615.1570643753,0,11.3207547169811,NA,0,0,0,0,7.04324552753909
"01029","AL","Cleburne","2022",NA,0,0,0,0,32.5817802684739,6.51635605369477,0,0,7.86516853932584,NA,0,0,0,0,6.51635605369477
